company,company_key,prediction_date,horizon_end,ranking_score,label_state
"Aescape, Inc.",aescape,2025-03-04,2028-03-04,0.6618125289876595,insufficient_followup
"Sensera Systems, Inc.",senserasystems,2026-02-26,2029-02-26,0.6613937449662867,insufficient_followup
"Third Arc Bio, Inc.",thirdarcbio,2026-02-04,2029-02-04,0.6606446504516128,insufficient_followup
"Shanghai Yinguan Semiconductor Technology Co., Ltd.",shanghaiyinguansemiconductor,2025-03-31,2028-03-31,0.6603776771530845,insufficient_followup
"Omnidian, Inc.",omnidian,2023-10-26,2026-10-26,0.6602854265554039,insufficient_followup
Cashfree Payments India Private Limited,cashfreepaymentsindiaprivate,2025-02-04,2028-02-04,0.6588697509192709,insufficient_followup
"ROME Therapeutics, Inc.",rometherapeutics,2023-09-12,2026-09-12,0.658395547390317,insufficient_followup
"Guangzhou Zhiguang Energy Storage Technology Co., Ltd.",guangzhouzhiguangenergystorage,2024-03-29,2027-03-29,0.6583940584811924,insufficient_followup
iCreditWorks Inc.,icreditworks,2025-04-14,2028-04-14,0.657612261804161,insufficient_followup
"Nusano, Inc.",nusano,2024-10-01,2027-10-01,0.6554699352718156,insufficient_followup
Kratos Studios,kratosstudios,2024-11-20,2027-11-20,0.6552804623234485,insufficient_followup
"Imbria Pharmaceuticals, Inc.",imbriapharmaceuticals,2025-10-31,2028-10-31,0.6546761696380087,insufficient_followup
"Accent Therapeutics, Inc.",accenttherapeutics,2024-01-23,2027-01-23,0.6544857240788419,insufficient_followup
"Superpower Health, Inc.",superpowerhealth,2025-04-22,2028-04-22,0.6543326957643545,insufficient_followup
Cmunity Innovations Private Limited,cmunityinnovationsprivate,2025-09-01,2028-09-01,0.6540132103595876,insufficient_followup
All Home,allhome,2026-06-23,2029-06-23,0.6537794524061901,insufficient_followup
"Dash Bio, Inc.",dashbio,2026-07-14,2029-07-14,0.652567141761543,insufficient_followup
"Cleerly, Inc.",cleerly,2024-12-04,2027-12-04,0.6495772798723527,insufficient_followup
Flare Therapeutics Inc.,flaretherapeutics,2026-06-30,2029-06-30,0.648422700342202,insufficient_followup
"Parse Biosciences, Inc.",parsebiosciences,2023-12-14,2026-12-14,0.6466102059000809,insufficient_followup
"Realize, Inc.",realize,2026-01-14,2029-01-14,0.640061749046671,insufficient_followup
"Day ai, Inc.",dayai,2026-02-02,2029-02-02,0.6399092656463543,insufficient_followup
"Raptor Maps, Inc.",raptormaps,2024-12-10,2027-12-10,0.6381358921579388,insufficient_followup
Service Lee Technologies Private Limited,serviceleeprivate,2025-02-28,2028-02-28,0.6379519507279039,insufficient_followup
"Proof Technology, Inc.",proof,2024-01-26,2027-01-26,0.6361595736829203,insufficient_followup
"Aulos Bioscience, Inc.",aulosbioscience,2023-08-01,2026-08-01,0.6358260460832451,insufficient_followup
Bugcrowd Inc.,bugcrowd,2023-09-21,2026-09-21,0.6351046350804901,insufficient_followup
"Cleanlab, Inc.",cleanlab,2023-10-10,2026-10-10,0.6323642703156311,insufficient_followup
"Visage Enterprise, Inc.",visageenterprise,2024-12-03,2027-12-03,0.6321702676918419,insufficient_followup
"Liuliumei Co., Ltd. (SEHK:6658)",liuliumeisehk6658,2024-12-31,2027-12-31,0.6318805435732887,insufficient_followup
"Snark AI, Inc.",snarkai,2024-03-26,2027-03-26,0.630481989881413,insufficient_followup
AirGSM Pte. Ltd.,airgsmpte,2023-07-31,2026-07-31,0.6298531308058228,insufficient_followup
Morse Micro PTY. LTD.,morsemicropty,2025-09-22,2028-09-22,0.62918519517003,insufficient_followup
"Create, Inc.",create,2025-09-29,2028-09-29,0.6277897966376415,insufficient_followup
"Premier Lacrosse League, Inc.",premierlacrosseleague,2025-06-25,2028-06-25,0.6265420509762749,insufficient_followup
"InfoBionic, Inc.",infobionic,2023-10-16,2026-10-16,0.6255937180778811,insufficient_followup
"Beijing Mingjia Semiconductor Co., Ltd.",beijingmingjiasemiconductor,2026-01-21,2029-01-21,0.6255317001001088,insufficient_followup
Guerrilla Infra Solutions Pvt. Ltd.,guerrillainfrasolutionspvt,2025-01-28,2028-01-28,0.6254661239339695,insufficient_followup
"Infinitus Systems, Inc.",infinitussystems,2024-10-23,2027-10-23,0.6205662643501859,insufficient_followup
"Standard Robots Co., Ltd.",standardrobots,2024-05-31,2027-05-31,0.6195578588078638,insufficient_followup
