dimension,cohort,rows,positive_rows,negative_rows,status,roc_auc,pr_auc,precision,recall,specificity,f1,brier_score,log_loss,calibration_intercept,calibration_slope,true_negative,false_positive,false_negative,true_positive,roc_auc_ci_95_low,roc_auc_ci_95_high
geography,Unknown,747,372.0,375.0,evaluated,0.9797562724014338,0.9823913341366206,0.9301075268817204,0.9301075268817204,0.9306666666666666,0.9301075268817204,0.05380496876288272,0.18683638152779847,-0.5104574762051511,0.81459250066543,349.0,26.0,26.0,346.0,0.9718353853840063,0.9866458841095572
funding_stage_proxy,0,327,,,too_small_or_single_class,,,,,,,,,,,,,,,,
funding_stage_proxy,1,598,127.0,471.0,evaluated,0.8983232191517462,0.7163250679207862,0.6697247706422018,0.5748031496062992,0.9235668789808917,0.6186440677966102,0.10046393581223668,0.32769370699329003,-0.4790519692442302,0.7372581150169079,435.0,36.0,54.0,73.0,0.8684195302556983,0.9249389918331191
funding_stage_proxy,2,93,50.0,43.0,evaluated,0.9483720930232558,0.9645053541151583,0.9361702127659575,0.88,0.9302325581395349,0.9072164948453608,0.08603451476648363,0.29428189522404663,-0.16946823009453346,1.7365816736800512,40.0,3.0,6.0,44.0,0.8957696096687771,0.9849791859389454
funding_stage_proxy,3+,54,32.0,22.0,evaluated,0.8572443181818181,0.8384282978890544,0.7837837837837838,0.90625,0.6363636363636364,0.8405797101449275,0.14630733827758563,0.488336612384023,-0.4845317037532341,0.9563166298501666,14.0,8.0,3.0,29.0,0.7522482320048243,0.9512175855190561
company_age_proxy,0,327,,,too_small_or_single_class,,,,,,,,,,,,,,,,
company_age_proxy,0-1,299,45.0,254.0,evaluated,0.9715223097112861,0.923102652138195,0.9047619047619048,0.8444444444444444,0.984251968503937,0.8735632183908046,0.029645845703664877,0.12875359567128186,0.17330479113530423,0.8387111098731103,250.0,4.0,7.0,38.0,0.9179561634297342,0.9952707054475334
company_age_proxy,1-3,135,53.0,82.0,evaluated,0.8430740911182697,0.7888113733629153,0.75,0.7358490566037735,0.8414634146341463,0.7428571428571429,0.15721746404027942,0.5065884281019455,-0.5698209910254461,0.715223979611093,69.0,13.0,14.0,39.0,0.7818475935828877,0.907016018462687
company_age_proxy,3-7,134,70.0,64.0,evaluated,0.8422991071428572,0.8374617018754371,0.8333333333333334,0.6428571428571429,0.859375,0.7258064516129032,0.16042475460105807,0.49181505010048626,0.019290668482468458,0.8078927725478862,55.0,9.0,25.0,45.0,0.7812766573398725,0.9012958792125458
company_age_proxy,7+,177,41.0,136.0,evaluated,0.8300753228120517,0.6921352749799792,0.5333333333333333,0.5853658536585366,0.8455882352941176,0.5581395348837209,0.137818401856581,0.4345155395119772,-0.7034744643084181,1.2353869414596668,115.0,21.0,17.0,24.0,0.7485061079940665,0.8993011518418556
prior_round_count,0,327,,,too_small_or_single_class,,,,,,,,,,,,,,,,
prior_round_count,1,598,127.0,471.0,evaluated,0.8983232191517462,0.7163250679207862,0.6697247706422018,0.5748031496062992,0.9235668789808917,0.6186440677966102,0.10046393581223668,0.32769370699329003,-0.4790519692442302,0.7372581150169079,435.0,36.0,54.0,73.0,0.8696523975358122,0.9214388749052842
prior_round_count,2,93,50.0,43.0,evaluated,0.9483720930232558,0.9645053541151583,0.9361702127659575,0.88,0.9302325581395349,0.9072164948453608,0.08603451476648363,0.29428189522404663,-0.16946823009453346,1.7365816736800512,40.0,3.0,6.0,44.0,0.8973051948051949,0.987267482561192
prior_round_count,3+,54,32.0,22.0,evaluated,0.8572443181818181,0.8384282978890544,0.7837837837837838,0.90625,0.6363636363636364,0.8405797101449275,0.14630733827758563,0.488336612384023,-0.4845317037532341,0.9563166298501666,14.0,8.0,3.0,29.0,0.7232717803030303,0.9585177168510502
total_funding_bucket,Q1,268,,,too_small_or_single_class,,,,,,,,,,,,,,,,
total_funding_bucket,Q2,268,75.0,193.0,evaluated,0.9672884283246977,0.9529660590899114,0.9552238805970149,0.8533333333333334,0.9844559585492227,0.9014084507042254,0.042353939483260584,0.18042117997377716,-1.0330920960615653,0.6112092806384325,190.0,3.0,11.0,64.0,0.9353254845185099,0.9908793699462752
total_funding_bucket,Q3,268,37.0,231.0,evaluated,0.8407628407628408,0.44058409525540415,0.5714285714285714,0.10810810810810811,0.987012987012987,0.18181818181818182,0.09551276772658458,0.2896908560479819,-0.1209890847833209,1.1016689439629324,228.0,3.0,33.0,4.0,0.7847537133689588,0.889888801626729
total_funding_bucket,Q4,268,156.0,112.0,evaluated,0.8711366758241759,0.8711853317693802,0.770949720670391,0.8846153846153846,0.6339285714285714,0.8238805970149253,0.1426033167722806,0.45259625200478415,-0.40590124887907386,0.892907571742186,71.0,41.0,18.0,138.0,0.8254903059845692,0.9097904770123507
data_completeness,limited_source_metadata,327,,,too_small_or_single_class,,,,,,,,,,,,,,,,
data_completeness,round+founding+master,160,23.0,137.0,evaluated,0.9289114566804189,0.6711147672045368,0.47368421052631576,0.782608695652174,0.8540145985401459,0.5901639344262295,0.10563274344443632,0.3565477017681654,-1.581646243329101,1.3031729492552875,117.0,20.0,5.0,18.0,0.8761187478588557,0.9703868087805297
data_completeness,round_history_only,585,186.0,399.0,evaluated,0.9217263589080227,0.8326073972855703,0.8258064516129032,0.6881720430107527,0.9323308270676691,0.750733137829912,0.100988035563898,0.3293189706387258,-0.05756771210361882,0.7843190605821687,372.0,27.0,58.0,128.0,0.8993349082946015,0.9415075988750996
economic_period,2024,260,130.0,130.0,evaluated,0.9824852071005916,0.9844982995555768,0.9421487603305785,0.8769230769230769,0.9461538461538461,0.9083665338645418,0.052948486275955435,0.1602642935537034,0.09187815335894706,1.0206779145372962,123.0,7.0,16.0,114.0,0.9709480771663505,0.9913441071858135
economic_period,2025-2026,812,406.0,406.0,evaluated,0.9610461306996043,0.9671018332567118,0.899749373433584,0.8842364532019704,0.9014778325123153,0.8919254658385093,0.07661654618113459,0.2562266554843323,-0.4893548605408877,0.8352876253040035,366.0,40.0,47.0,359.0,0.9488841027789472,0.9714276659895977
