company,tier,primary_source,valuation_b_latest,valuation_usd,funding_original_usd,funding_audited_usd,funding_audit_flag,industry_raw,industry_group,country,continent,city,founded_year,date_joined_unicorn,unicorn_year,era,years_to_unicorn,years_to_unicorn_flag,outcome,investors,investor_count,accelerator,in_yc,in_techstars,in_500global,valuation_asof,exit_date,exit_reason,exit_valuation_b,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,status_asof,batch,batch_year,team_size,funding_stage,date_joined_parsed,is_unicorn_history,_ingested_at,_source_file,select_investor_count,_flag_long_path,_flag_missing_valuation,_flag_invalid_continent,ln_valuation,ln_funding
Merama,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,345000000000.0,345000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,Mexico,North America,Mexico City,2020.0,12/9/2021,2021.0,2021,1.0,,operating,"SoftBank Latin America Fund, Advent International, Balderton Capital",3.0,,False,False,False,2026-07,,,,345000000000.0,,,,,,,,,2021-12-09,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.659054974995634
SeekOut,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,189000000000.0,189000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,Bellevue,2017.0,1/12/2022,2022.0,Post-2021,5.0,,operating,"Mayfield, Madrona Venture Group, Tiger Global Management",3.0,,False,False,False,2026-07,,,,189000000000.0,,,,,,,,,2022-01-12,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.057257573023918
BigPanda,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,317000000000.0,317000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,Redwood City,2012.0,1/12/2022,2022.0,Post-2021,10.0,,operating,"Advent International, Battery Ventures, Sequoia Capital Israel",3.0,,False,False,False,2026-07,,,,317000000000.0,,,,,,,,,2022-01-12,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.574412331841554
LivSpace,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,427000000000.0,427000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,India,Asia,Bengaluru,2015.0,2/8/2022,2022.0,Post-2021,7.0,,operating,"Jungle Ventures, Helion Venture Partners, INGKA Investments",3.0,,False,False,False,2026-07,,,,427000000000.0,,,,,,,,,2022-02-08,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.8722945711929
Tealium,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,264000000000.0,264000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,San Diego,2008.0,2/3/2021,2021.0,2021,13.0,,operating,"Georgian Partners, Silver Lake, Presidio Ventures",3.0,,False,False,False,2026-07,,,,264000000000.0,,,,,,,,,2021-02-03,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.39145966111059
Public,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,309000000000.0,309000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,United States,North America,New York,2008.0,2/17/2021,2021.0,2021,13.0,,operating,"Accel, Greycroft, Advancit Capital",3.0,,False,False,False,2026-07,,,,309000000000.0,,,,,,,,,2021-02-17,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.54885183486202
Qumulo,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,347000000000.0,347000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,Seattle,2012.0,7/16/2020,2020.0,Pre-2021,8.0,,operating,"Madrona Venture Group, Kleiner Perkins Caufield & Byers, Highland Capital Partners",3.0,,False,False,False,2026-07,,,,347000000000.0,,,,,,,,,2020-07-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,19.664835337911132
Hailo,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,221000000000.0,221000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,Israel,Asia,Tel Aviv,2017.0,10/12/2021,2021.0,2021,4.0,,operating,"Glory Ventures, Maniv Mobility",2.0,,False,False,False,2026-07,,,,221000000000.0,,,,,,,,,2021-10-12,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,False,False,False,20.905587393740365,19.213673259482025
Esusu,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,145000000000.0,145000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,United States,North America,New York,2015.0,1/27/2022,2022.0,Post-2021,7.0,,operating,"Next Play Ventures, Zeal Capital Partners, SoftBank Group",3.0,,False,False,False,2026-07,,,,145000000000.0,,,,,,,,,2022-01-27,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.905587393740365,18.792244300384848
Workhuman,unicorn_current,CB Insights unicorn list (2026-07),1.2,1200000000.0,9000000000.0,9000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,Framingham,1999.0,6/23/2020,2020.0,Pre-2021,21.0,,operating,ICG,1.0,,False,False,False,2026-07,,,,9000000000.0,,,,,,,,,2020-06-23,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,1,False,False,False,20.905587393740365,16.012735135300492
L&P Cosmetic,unicorn_current,CB Insights unicorn list (2026-07),1.19,1190000000.0,33000000000.0,33000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,South Korea,Asia,Seoul,2009.0,1/1/2016,2016.0,Pre-2021,7.0,,operating,CDIB Capital,1.0,,False,False,False,2026-07,,,,33000000000.0,,,,,,,,,2016-01-01,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,1,False,False,False,20.89721914406985,17.312018119430753
Luoji Siwei,unicorn_current,CB Insights unicorn list (2026-07),1.18,1180000000.0,144000000000.0,144000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Media & Entertainment,AI & Data,China,Asia,Beijing,2012.0,7/20/2017,2017.0,Pre-2021,5.0,,operating,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",3.0,,False,False,False,2026-07,,,,144000000000.0,,,,,,,,,2017-07-20,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.888780275423983,18.785323857540273
Vestiaire Collective,unicorn_current,CB Insights unicorn list (2026-07),1.18,1180000000.0,663000000000.0,663000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,France,Europe,Paris,2009.0,3/1/2021,2021.0,2021,12.0,,operating,"Eurazeo, IDInvest Partners, Balderton Capital",3.0,,False,False,False,2026-07,,,,663000000000.0,,,,,,,,,2021-03-01,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.888780275423983,20.312285548150136
Modern Health,unicorn_current,CB Insights unicorn list (2026-07),1.17,1170000000.0,167000000000.0,167000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Healthcare & Life Sciences,Health & Bio,United States,North America,San Francisco,2017.0,2/11/2021,2021.0,2021,4.0,,operating,"Kleiner Perkins Caufield & Byers, Afore Capital, Founders Fund",3.0,,True,False,False,2026-07,,,,167000000000.0,,,,,,,,,2021-02-11,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.880269585756075,18.93350437038103
Yimidida,unicorn_current,CB Insights unicorn list (2026-07),1.17,1170000000.0,554000000000.0,554000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,China,Asia,Shanghai,2015.0,1/14/2019,2019.0,Pre-2021,4.0,,operating,"Source Code Capital, Global Logistic Properties, K2VC",3.0,,False,False,False,2026-07,,,,554000000000.0,,,,,,,,,2019-01-14,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.880269585756075,20.132675244711557
CloudBees,unicorn_current,CB Insights unicorn list (2026-07),1.15,1150000000.0,236000000000.0,236000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,San Jose,2010.0,12/9/2021,2021.0,2021,11.0,,operating,"Matrix Partners, Lightspeed Venture Partners, Verizon Ventures",3.0,,False,False,False,2026-07,,,,236000000000.0,,,,,,,,,2021-12-09,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.86302777932157,19.279342362989883
Rebellion Defense,unicorn_current,CB Insights unicorn list (2026-07),1.15,1150000000.0,150000000000.0,150000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,United States,North America,Washington DC,2019.0,9/16/2021,2021.0,2021,2.0,,operating,"Venrock, Innovation Endeavors, Insights Partners",3.0,,False,False,False,2026-07,,,,150000000000.0,,,,,,,,,2021-09-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,False,False,False,20.86302777932157,18.82614585206053
