company,tier,primary_source,valuation_b_latest,valuation_usd,funding_original_usd,funding_audited_usd,funding_audit_flag,industry_raw,industry_group,country,continent,city,founded_year,date_joined_unicorn,unicorn_year,era,years_to_unicorn,years_to_unicorn_flag,outcome,investors,investor_count,accelerator,in_yc,in_techstars,in_500global,valuation_asof,exit_date,exit_reason,exit_valuation_b,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,status_asof,batch,batch_year,team_size,funding_stage,date_joined_parsed,is_unicorn_history,_ingested_at,_source_file,select_investor_count,is_unicorn
Banma Network Technologies,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,697000000000.0,697000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,China,Asia,Shanghai,2015.0,9/13/2018,2018.0,Pre-2021,3.0,,operating,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital",3.0,,False,False,False,2026-07,,,,697000000000.0,,,,,,,,,2018-09-13,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Tresata,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,51000000000.0,51000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,United States,North America,Charlotte,2011.0,10/10/2018,2018.0,Pre-2021,7.0,,operating,GCP Capital Partners,1.0,,False,False,False,2026-07,,,,51000000000.0,,,,,,,,,2018-10-10,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,1,1
Momenta,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,1000000000.0,1000000000.0,ok_or_missing,Industrials,Hardware & Industrials,China,Asia,Beijing,2016.0,10/17/2018,2018.0,Pre-2021,2.0,,operating,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China",3.0,,False,False,False,2026-07,,,,1000000000.0,,,,,,,,,2018-10-17,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Hosjoy,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,139000000000.0,139000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,China,Asia,Nanjing,2009.0,10/18/2018,2018.0,Pre-2021,9.0,,operating,"U.S.-China Green Fund, Founder H Fund, Richland Equities",3.0,,False,False,False,2026-07,,,,139000000000.0,,,,,,,,,2018-10-18,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Omio,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,396000000000.0,396000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,Germany,Europe,Berlin,2013.0,10/23/2018,2018.0,Pre-2021,5.0,,operating,"Lakestar, Battery Ventures, New Enterprise Associates",3.0,,False,False,False,2026-07,,,,396000000000.0,,,,,,,,,2018-10-23,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
BitFury,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,170000000000.0,170000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,Netherlands,Europe,Amsterdam,2011.0,11/6/2018,2018.0,Pre-2021,7.0,,operating,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital",3.0,,False,False,False,2026-07,,,,170000000000.0,,,,,,,,,2018-11-06,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
REEF Technology,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,2000000000.0,2000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,United States,North America,Miami,2015.0,12/10/2018,2018.0,Pre-2021,3.0,,operating,"Target Global, UBS Asset Management, Mubadala Capital",3.0,,False,False,False,2026-07,,,,2000000000.0,,,,,,,,,2018-12-10,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Globality,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,310000000000.0,310000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,Menlo Park,2015.0,1/22/2019,2019.0,Pre-2021,4.0,,operating,SoftBank Group,1.0,,False,False,False,2026-07,,,,310000000000.0,,,,,,,,,2019-01-22,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,1,1
Ynsect,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,393000000000.0,393000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Industrials,Hardware & Industrials,France,Europe,Evry,2011.0,2/21/2019,2019.0,Pre-2021,8.0,,operating,"Astanor Ventures, Upfront Ventures, IDInvest Partners",3.0,,False,False,False,2026-07,,,,393000000000.0,,,,,,,,,2019-02-21,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Poizon,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,,,missing_funding,Consumer & Retail,AI & Data,China,Asia,Shanghai,2015.0,4/29/2019,2019.0,Pre-2021,4.0,,operating,"DST Global, Sequoia Capital China, Gaorong Capital",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2019-04-29,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
SITECH DEV,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,,,missing_funding,Industrials,Hardware & Industrials,China,Asia,Guiyang,2017.0,5/16/2019,2019.0,Pre-2021,2.0,,operating,China Prosperity Capital,1.0,,False,False,False,2026-07,,,,,,,,,,,,,2019-05-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,1,1
KnowBox,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,306000000000.0,306000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,China,Asia,Beijing,2014.0,5/30/2019,2019.0,Pre-2021,5.0,,operating,"TAL Education Group, Legend Star, Alibaba Group",3.0,,False,False,False,2026-07,,,,306000000000.0,,,,,,,,,2019-05-30,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Meero,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,293000000000.0,293000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Media & Entertainment,AI & Data,France,Europe,Paris,2016.0,6/18/2019,2019.0,Pre-2021,3.0,,operating,"Aglae Ventures, Global Founders Capital, Alven Capital",3.0,,False,False,False,2026-07,,,,293000000000.0,,,,,,,,,2019-06-18,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
C2FO,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,538000000000.0,538000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,United States,North America,Leawood,2008.0,8/7/2019,2019.0,Pre-2021,11.0,,operating,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management",3.0,,False,False,False,2026-07,,,,538000000000.0,,,,,,,,,2019-08-07,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Numbrs,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,105000000000.0,105000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,Switzerland,Europe,Zurich,1999.0,8/22/2019,2019.0,Pre-2021,20.0,,operating,"Investment Corporation of Dubai, Centralway",2.0,,False,False,False,2026-07,,,,105000000000.0,,,,,,,,,2019-08-22,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,1
EBANX,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,460000000000.0,460000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Financial Services,Fintech,Brazil,South America,Curitiba,2012.0,10/16/2019,2019.0,Pre-2021,7.0,,operating,"FTV Capital, Endeavor",2.0,,False,False,False,2026-07,,,,460000000000.0,,,,,,,,,2019-10-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,2,1
KK Group,unicorn_current,CB Insights unicorn list (2026-07),3.0,3000000000.0,612000000000.0,612000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,China,Asia,Dongguan,2014.0,10/23/2019,2019.0,Pre-2021,5.0,,operating,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",3.0,,False,False,False,2026-07,,,,612000000000.0,,,,,,,,,2019-10-23,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Hotmart,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,127000000000.0,127000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,Netherlands,Europe,Amsterdam,2011.0,3/17/2020,2020.0,Pre-2021,9.0,,operating,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic",3.0,,False,False,False,2026-07,,,,127000000000.0,,,,,,,,,2020-03-17,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Dubizzle Group,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,,,missing_funding,Consumer & Retail,AI & Data,United Arab Emirates,Asia,Dubai,,4/28/2020,2020.0,Pre-2021,,,operating,"OLX Group, KCK Group, EXOR Seeds",3.0,,False,False,False,2026-07,,,,,,,,,,,,,2020-04-28,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Quizlet,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,62000000000.0,62000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,United States,North America,San Francisco,2005.0,5/13/2020,2020.0,Pre-2021,15.0,,operating,"Union Square Ventures, Altos Ventures, Costanoa Ventures",3.0,,False,False,False,2026-07,,,,62000000000.0,,,,,,,,,2020-05-13,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Orca Bio,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,192000000000.0,192000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Healthcare & Life Sciences,Health & Bio,United States,North America,Menlo Park,2016.0,6/17/2020,2020.0,Pre-2021,4.0,,operating,"Lightspeed Venture Partners, Data Collective, 8VC",3.0,,False,False,False,2026-07,,,,192000000000.0,,,,,,,,,2020-06-17,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Infobip,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,200000000000.0,200000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United Kingdom,Europe,London,2006.0,7/30/2020,2020.0,Pre-2021,14.0,,operating,One Equity Partners,1.0,,False,False,False,2026-07,,,,200000000000.0,,,,,,,,,2020-07-30,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,1,1
Zwift,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,620000000000.0,620000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Healthcare & Life Sciences,Health & Bio,United States,North America,Long Beach,2014.0,9/16/2020,2020.0,Pre-2021,6.0,,operating,"Novator Partners, True, Causeway Media Partners",3.0,,False,False,False,2026-07,,,,620000000000.0,,,,,,,,,2020-09-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Playco,unicorn_current,CB Insights unicorn list (2026-07),1.0,1000000000.0,140000000000.0,140000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Media & Entertainment,AI & Data,United States,North America,Mountain View,2020.0,9/21/2020,2020.0,Pre-2021,0.0,,operating,"Sozo Ventures, Caffeinated Capital, Sequoia Capital",3.0,,False,False,False,2026-07,,,,140000000000.0,,,,,,,,,2020-09-21,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Gousto,unicorn_current,CB Insights unicorn list (2026-07),1.7,1700000000.0,311000000000.0,311000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Consumer & Retail,AI & Data,United Kingdom,Europe,London,2012.0,11/3/2020,2020.0,Pre-2021,8.0,,operating,"MMC Ventures, BGF Ventures, Unilever Ventures",3.0,,False,False,False,2026-07,,,,311000000000.0,,,,,,,,,2020-11-03,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Alation,unicorn_current,CB Insights unicorn list (2026-07),1.7,1700000000.0,192000000000.0,192000000.0,unit_suspect_unicorn_funding_gt_valuation_working_divide_by_1000,Enterprise Tech,Enterprise Software,United States,North America,Redwood City,2012.0,6/3/2021,2021.0,2021,9.0,,operating,"Costanoa Ventures, Data Collective, Salesforce Ventures",3.0,,False,False,False,2026-07,,,,192000000000.0,,,,,,,,,2021-06-03,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
Boom,unicorn_current,CB Insights unicorn list (2026-07),1.5,1500000000.0,,,missing_funding,Industrials,Hardware & Industrials,United States,North America,Centennial,,12/16/2020,2020.0,Pre-2021,,,operating,"WRVI Capital, Caffeinated Capital, Y Combinator",3.0,,True,False,False,2026-07,,,,,,,,,,,,,2020-12-16,1,2026-07-22T01:41:41.178980+00:00,vc_scout_audited_startup_master_final.csv,3,1
